,BodyLength,Lecty,Nesting,Sociality,Origin
Agapostemonsericeus,10,1,1,1,0
Agapostemonsplendens,10.5,1,1,1,0
Agapostemontexanus,10.25,1,1,1,0
Agapostemonvirescens,10.5,1,1,1,0
Andrenaalgida,8.5,1,1,2,0
Andrenaaliciae,12.38,2,1,2,0
Andrenaalleghaniensis,9.25,1,1,2,0
Andrenaandrenoides,9.25,2,1,2,0
Andrenaasteris,11.5,2,1,2,0
Andrenabanksi,10,1,1,2,0
Andrenabarbara,10.86,1,1,2,0
Andrenabarbilabris,9.75,1,1,2,0
Andrenabisalicis,8.5,2,1,2,0
Andrenabradleyi,9.25,2,1,2,0
Andrenabrevipalpis,8.5,1,1,2,0
Andrenacanadensis,6.98,2,1,2,0
Andrenacarlini,12.25,1,1,2,0
Andrenacarolina,12.03,2,1,2,0
Andrenaceanothi,9.5,1,1,2,0
Andrenachromotricha,7.9,2,1,2,0
Andrenacommoda,10.75,1,1,2,0
Andrenaconfederata,11.75,1,1,2,0
Andrenacrataegi,11,1,1,2,0
Andrenacressonii,8.09,1,1,2,0
Andrenadistans,8.25,2,1,2,0
Andrenadunningi,10.75,1,1,2,0
Andrenaerigeniae,7.75,2,1,2,0
Andrenaerythrogaster,10.63,2,1,2,0
Andrenaerythronii,11,2,1,2,0
Andrenafenningeri,9,1,1,2,0
Andrenaforbesii,9.13,1,1,2,0
Andrenafragilis,9.83,2,1,2,0
Andrenagardineri,9.5,2,1,2,0
Andrenageranii,8.75,2,1,2,0
Andrenahelianthi,12.38,2,1,2,0
Andrenaheraclei,9.5,1,1,2,0
Andrenahilaris,12.5,1,1,2,0
Andrenahippotes,9,1,1,2,0
Andrenahirticincta,10.68,2,1,2,0
Andrenailicis,8.75,1,1,2,0
Andrenaillini,12.75,1,1,2,0
Andrenaillinoiensis,7.15,2,1,2,0
Andrenaimitatrix,9.77,1,1,2,0
Andrenaintegra,8.25,2,1,2,0
Andrenakrigiana,7.38,2,1,2,0
Andrenamacoupinensis,9.5,2,1,2,0
Andrenamacra,10.5,1,1,2,0
Andrenamandibularis,9,1,1,2,0
Andrenamendica,9.75,1,1,2,0
Andrenamilwaukeensis,10.5,1,1,2,0
